Date,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
11/20/67,20:57,"Cincinnati International Airport, Covington/Hebron, Kentucky",Trans World Airlines,128,Los Angeles - Cincinnati,Convair CV-880-22-1,N821TW,22-00-27,82,70,0,12,0.146341463,The aircraft struck a tree short of the runway during an approach in snow. Procedural errors by the crew during the approach in adverse weather. The visual approach conducted at night and in deteriorating weather conditions without adequate altimeter cross-reference. The approach was conducted using visual reference to partially lighted irregular terrain which may have been conducive to producing an illusionary sense of adequate terrain clearance.,High Fatality
12/8/67,,"Carpich Huanuco Mt., Peru",Faucett,,Huanuco - Tingo Maria,Douglas DC-C-54A,OB-R-148,10284,72,72,0,0,0,"The plane flew into 10,500 ft. Carpish Mountain,30 miles from Tingo Maria.",High Fatality
2/7/68,15:00,Northern India,Military - Indian Air Force,,"Chandigarh, Punjab - Leh, Kashmir",Antonov AN-12BP,BL534,24003,98,98,0,0,0,Vanished without a trace over the Himalayas while en route.,High Fatality
2/29/68,,"Near Bratsk, Russia",Aeroflot,,Krasnoyarsk - Petropavlovsk,Ilyushin IL-18D,CCCP-74252,187010601,82,82,0,0,0,"Cruising at flight level 260, some type of emergency developed. An abrupt descent was begun and accelerated until aerodynamiforces broke apart the plane. Cause unknown.",High Fatality
4/8/68,15:35,"Heathrow Airport, London, England",British Overseas Airways,712,London - Zurich,Boeing B-707-465,G-ARWE,18373,127,5,0,122,0.960629921,"Shortly after leaving the runway during takeoff the No. 2 engine caught fire. Through some confusion, the crew did not pull the fire shutoff handle. The fire continued to burn and while attempting to land, the No. 2 engine fell away. After the plane came to a stop, the wing tank exploded.",Low Fatality
4/20/68,18:50,"Near Windhoek, South Africa (Namibia)",South African Airways,228/129,Windhoek - Luanda,Boeing B-707-344C,ZS-EUW,19705,128,123,0,5,0.0390625,"The aircraft took off from J. G. Strijdom Airport, climbed to an altitude of 600 ft. and then descended, crashing, about one minute after taking off 3 miles from the runway. Procedural errors during takeoff . Takeoff conditions in total darkness with no external visual reference. Stabilizer trim improperly set, spatial disorientation and preoccupation with after takeoff duties.",High Fatality
5/3/68,15:48,"Near Dawson, Texas",Braniff Airlines,352,Houston - Dallas-Fort Worth,Lockheed L188A Electra,N9707C,1099,85,85,0,0,0,"On a flight from Houston to Dallas the airliner flew into thunderstorms. While attempting to turn around by making a right hand turn, winds lifted the port wing, forcing the starboard wing down past 90 degrees.  A stall resulted from this unusual attitude, pitching the nose down. During the recovery maneuver, the starboard wing was over-stressed, separating from the aircraft followed by the the tail and engines. The aircraft crashed into a field. Pilot's decision to penetrate a line of thunderstorms and severe weather. Visual perception of the pilot may have been reduced by a near lightning strike.",High Fatality
5/12/68,16:00,"Kham Duc, Vietnam",Military - U.S. Air Force,,,Lockheed C-130B Hercules,60-0297,3600,155,155,0,0,0,"Shot down by enemy fire while attempting to evacuate Kham Ducivilians.  The aircraft shook  violently, crashed and burst into flames in a ravine at the end of the airstrip.",High Fatality
6/22/68,,"Yuhnov, Russia",Military Soviet  Air Force - Aeroflot,,Kaunas - Ryazan / Moscow - Gomel,Antonov An-12 - Ilyshin IL-14,,,120,120,0,0,0,"Midair collision. Ninety-six killed on the An-12, 24 on the IL-14.",High Fatality
9/3/68,21:25,"Near Burgas, Bulgaria",Bulair TABSO,,,Ilyushin IL-18,LZ-BEG,187009101,89,47,0,42,0.471910112,Crashed on approach descending into the ground short of the runway. Deviation from the prescribed flight rules to accomplish a visual approach in adverse weather conditions.,High Fatality
9/11/68,10:30,"Off Cap d'Antibes, France",Air France,1611,Ajaccio - Nice,Sud-Aviation Caravelle 3,F-BOHB,244,95,95,0,0,0,"The airliner crashed into the Mediterranean sea, 10 miles south of Nice Airport, while attempting an emergency landing 21 minutes after taking off. Prior to the crash a message was received that there was fire aboard in the rear of the cabin.",High Fatality
11/22/68,1:24,"San Francisco, California",Japan Air Lines,2,Tokyo - San Francisco,McDonnell Douglas DC-8-62,JA8032,45954,107,0,0,107,1,"The plane landed in the shallow waters of San Francisco Bay, 2.5 mile short of the Runway 28L. All 107 people aboard were safely evacuated off the plane without injury. According to the NTSB, the captain said he was making a coupled approach, but because of problems with his pressure altimeter, he was relying on the more accurate radio altimeter for verification of altitude. The captain looked up expecting to be 200 feet above the water but instead was nearly in the water. He applied power but it was too late. The captain did not cross-check the raw data glide-slope signals and didn't realize the ILS on-course position was far above where he was. The  improper application of the prescribed procedures to execute an automatic-coupled ILS approach. This deviation from the prescribed procedures was, in part, due t o a lack of familiarization and infrequent operation of the installed flight director and autopilot system.  As a result, Japan Air Lines changed their training procedures to stress command responsibilities, crew coordination and transition time for new type of aircraft. The aircraft was recovered from the San Francisco Bay 55 hours after the accident, repaired at a United Air Lines facility and eventually flow back to Japan where it was put  in service for many decades.",Low Fatality
3/16/69,12:00,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,742,Maracaibo - Miami,McDonnell Douglas DC-9-32,YV-C-AVD,47243/448,84,84,70,0,0,"Seconds after becoming airborne, the aircraft struck electrical power lines and crashed into houses in the La Trinidad section of the city. Takeoff calculations made from erroneous information. Faulty temperature sensor along the runway. San Francisco Giants pitcher Nestor Chavez, 22,  killed.",High Fatality
3/20/69,2:00,"Near Aswan, Egypt",United Arab Airlines,,Jeddah - Aswan,Ilyushin IL-18D,SU-APC,188011301,105,100,0,5,0.047619048,The aircraft crashed and burned while attempting to land  at Aswan Airport for the third time. The pilot descended below minimum safe altitude without having the runway lights clearly in sight. A contributing factor was pilot fatigue.,High Fatality
6/4/69,8:42,"Near Salinas Victoria, Nuevo Leon, Mexico",Compania Mexicana de Aviacion,704,Mexico City - Monterey,Boeing B-727-64,XA-SEL,19256/355,79,79,0,0,0,"While the crew was descending and attempting to align with the runway, the plane hit high ground, several kilometers from the airport, in poor weather conditions. Excessive speed and wide radius of turn took the  aircraft out of the designated descent area and over rising terrain.",High Fatality
8/26/69,,"Moscow, Russia",Aeroflot,,,Ilyushin IL-18,,,112,16,0,96,0.857142857,Engine fire led to an emergency landing with the landing gear retracted.,Low Fatality
9/9/69,14:29,"Near Fairland, Indiana",Allegheny Airlines / Forth Corporation,853,Indianapolis - Bakalar AFB,MD Douglas DC-9-31/Piper Cherokee PA-28,N988VJ/N7374J,47211/357 / ,83,83,0,0,0,"Midair collision at 2,500 ft. The Piper crashed into the tail of the DC-9 as it prepared to land. Eighty-two killed aboard the DC-9, one aboard the Cessna.  Inadequate VFR separation and deficiencies in the ATC system in the terminal area with mixed VFR/IFR traffic.",High Fatality
9/20/69,16:00,"Near Hoi An, Vietnam",Air Vietnam (South Vietnam),,Pleiku - Da Nang,Douglas DC-4 / USAF F-4E,XV-NUG,10860,76,74,2,2,0.026315789,"Midair collision. The F-4E landed safely. The DC-4 crashed, killing all seventy-five aboard and two on the ground. Misconstrued instructions on landing by the DC-4.",High Fatality
9/21/69,,"Mexico City, Mexico",Mexicana,,Chicago - Mexico City,Boeing B-727-64,XA-SEJ,19255/331,118,27,0,91,0.771186441,"During an approach, the plane undershot the runway and landed about a mile short, hitting an embankment . The plane became airborne again until the undercarriage and forward fuselage struck a railway embankment and broke up. Undetermined cause.",Low Fatality
9/26/69,,"Near La Paz, Bolivia",Lloyd Aereo Boliviano,,Santa Cruz - La Paz,Douglas DC-6B,CP-698,43273,74,74,0,0,0,"Hit 15,500 ft. Mt. Choquetanga. Cause unknown. All members of the Bolivian soccer team The Strongest, killed.",High Fatality
11/20/69,8:30,"Near Ikeja, Nigeria",Nigeria Airways,825,Kano - Lagos,BAC VC-10-1101,5N-ABD,804,87,87,0,0,0,The aircraft crashed and burned 8 miles from Lagos Airport where it was to have landed. Cause unknown.  Possibly insufficient monitoring of equipment. Allowing the aircraft to come down to an unsafe altitude without contact with the ground.,High Fatality
12/8/69,20:46,"Near Keratea, Greece",OlympiAirways,,Chania - Athens,Douglas DC-6B,SX-DAE,45540/1016,90,90,0,0,0,"The aircraft crashed into Mt. Pan, 25 miles SW of Athens while preparing to land. The flight crew deviated from the proper track and descended below the minimum safe altitude during approach.",High Fatality
2/6/70,,"Near Samarkand, USSR",Aeroflot,,,Ilyushin IL-18V,CCCP-75798,182004303,92,92,0,0,0,"Crashed into a mountain at an elevation of 5,000 ft. Misidentification of the aircraft by the air trafficontroller.",High Fatality
2/15/70,18:30,"Off Santo Domingo, Dominican Republic",Compania Dominicana de Aviacion,,Santo Domingo - San Juan,McDonnell Douglas DC-9-32,HI-177,47500/546,102,102,0,0,0,"Two minutes after taking off , the crew reported losing an engine and turned back towards the airport. The plane then descended rapidly and crashed into the sea. Featherweight boxer Carlos Cruz and members of  the Puerto Rican women's national volleyball team killed.",High Fatality
4/1/70,8:16,"Casablanca, Morocco",Royal Air Maroc,,Agadir - Casablanca,Aerospatiale Caravelle 3,CN-CCV,032/33,82,61,0,21,0.256097561,The aircraft crashed 9.7 km short of the runway during approach in the fog and broke in two.,High Fatality
7/3/70,19:05,"Near Arbucias, Gerona, Spain",Dan Air Services,,Manchester - Barcelona,de Havilland Comet 4,G-APDN,6415,112,112,0,0,0,"Due to heavy traffic, the flight was diverted from the planned route. The aircraft failed to follow the assigned airway and crashed into a cloud obscured Montseny Mountain while on approach. The deviation from the assigned airway may have been caused by malfunctioning equipment. In addition, the ATC did not realize the aircraft was deviating from its assigned course.",High Fatality
7/5/70,8:09,"Toronto, Canada",Air Canada,621,Montreal - Toronto - Los Angeles,McDonnell Douglas DC-8-63,CF-TIW,46114/526,109,109,0,0,0,"While attempting to land at Toronto, at approximately 60 feet above the runway, the spoilers were inadvertently deployed causing the aircraft to fall to the runway and lose the No. 4 engine. With the wing on fire, the captain decided to go-around but while circling the plane lost the No. 3 engine and eventually went into a seep dive and crashed. Inadvertent deployment of the spoilers by the first officer while the aircraft was still in the air. Faulty design by allowing the spoiler handle to perform two different unrelated tasks (lift to arm and pull to deploy). After the crash McDonnell Douglas denied there was any design flaw and the FAA decided to issue an Airworthiness Directive requiring a warning placard on all DC8s. After two and possibly three more crashed with the same cause an AD was issued requiring a safety lock be installed.",High Fatality
